qc_id,dn,Neighborhood,sectorgis,codcol1,tipo,ruralurban,seqcol
0,255,COLONIA VILLA MADRID,56,5611,COLONIAS,RURAL,1
1,255,RESIDENCIAL BRICEÑO,55,5541,COLONIAS,RURAL,2
2,255,COLONIA VILLA PENIEL I ETAPA,56,5612,COLONIAS,RURAL,3
3,255,COLONIA VILLA PENIEL II ETAPA,56,5612,COLONIAS,RURAL,4
4,255,COLONIA CATALUÑA,55,5505,COLONIAS,RURAL,5
5,255,RESIDENCIAL SAN JOSE,55,5518,COLONIAS,RURAL,6
6,255,VILLA ELENA,55,5501,COLONIAS,RURAL,7
22,255,VILLA LOS ENCINOS,36,3637,COLONIAS,RURAL,23
7,255,VILLA LIA,54,0,COLONIAS,RURAL,8
8,255,COLONIA MARIA JOSE,54,5406,COLONIAS,RURAL,9
9,255,RESIDENCIAL LOS OLIVOS,55,5523,COLONIAS,RURAL,10
10,255,VILLA ELENA II ETAPA,55,5501,COLONIAS,RURAL,11
16,255,RESIDENCIAL VILLA LA ESTANCIA,36,3645,COLONIAS,RURAL,17
23,255,VILLA LOS CIPRESES,36,3639,COLONIAS,RURAL,24
436,255,RESIDENCIAL VILLA INTERAMERICANA,13,0,COLONIAS,URBANO,436
11,255,RESIDENCIAL PINARES DE SANTA CRUZ,41,4103,COLONIAS,RURAL,12
12,255,COLONIA VILLA SANTA TERESITA,55,5520,COLONIAS,RURAL,13
13,255,BARRIO BUENA VISTA,2,212,COLONIAS,URBANO,14
15,255,RESIDENCIAL MONTE REAL,38,3801,COLONIAS,RURAL,16
20,255,VILLA LAS ACACIAS,36,0,COLONIAS,RURAL,21
21,255,VILLA LOS CEDROS,36,3638,COLONIAS,RURAL,22
17,255,CIUDAD MATEO,39,3620,COLONIAS,RURAL,18
18,255,SIN NOMBRE,22,0,SIN NOMBRE,SIN NOMBRE,19
19,255,CASERIO EL GUAYABAL,23,0,COLONIAS,URBANO,20
24,255,RESIDENCIAL SANTA CRUZ III ETAPA,23,2365,COLONIAS,SIN NOMBRE,26
25,255,RESIDENCIAL LA HACIENDA REAL,35,3545,COLONIAS,RURAL,27
26,255,RESIDENCIAL LA HACIENDA REAL II ETAPA,35,3545,COLONIAS,RURAL,28
27,255,COLONIA ALTOS DE VILLA VIEJA,32,3210,COLONIAS,RURAL,29
28,255,URBANIZACION PINARES DE ORIENTE,32,3215,COLONIAS,RURAL,30
29,255,RESIDENCIAL VILLA DEL CAMPO I ETAPA,32,3212,COLONIAS,RURAL,31
30,255,VILLAS DE ORIENTE,32,3211,COLONIAS,RURAL,32
31,255,RESIDENCIAL VILLA DEL CAMPO II ETAPA,32,3212,COLONIAS,RURAL,33
