objectid,Neighborhood,Corr,Dist,GeoSector
125,AEREOPUERTO INTERNACIONAL TONCONTIN,0,DU04,SECTOR 22
337,AGAFAM,0,DU08,SECTOR 18
411,AGUA DULCE,2310,DU10,SECTOR 23
206,ALCAZARES DE LA CaNADA,2158,DU09,SECTOR 21
536,ALDEA  EL CHIMBO,9996,DU07,SECTOR 09
839,ALDEA CERRO GRANDE,1402,DU06,SECTOR 14
0,ALDEA DE SUYAPA,2906,,SECTOR 29
0,ALDEA DE SUYAPA SECTOR GRACIAS A DIOS,0,DU08,SECTOR 29
752,ALDEA EL CARRIZAL,1406,DU06,SECTOR 14
539,ALDEA EL HATILLO,1509,DU07,SECTOR 15
869,ALDEA EL TABLON,2602,DU09,SECTOR 26
882,ALDEA EL TIZATILLO,0,DU09,SECTOR 27
884,ALDEA GERMANIA,2701,DU09,SECTOR 27
867,ALDEA JACALEAPA,2604,DU09,SECTOR 26
883,ALDEA LA CIENEGA,2707,DU09,SECTOR 27
844,ALDEA LA CUESTA No. 2,1407,DU06,SECTOR 14
970,ALDEA LA CUESTA No.1,2505,DU06,SECTOR 25
194,ALDEA LA JOYA,2021,DU03,SECTOR 20
227,ALDEA LA JOYA,1923,DU03,SECTOR 19
925,ALDEA LA SOLEDAD No.2,2501,DU11,SECTOR 25
391,ALDEA LAS CASITAS,2324,DU10,SECTOR 23
268,ALDEA LOARQUE,2132,DU09,SECTOR 21
908,ALDEA LOARQUE (MIMBRE),2805,DU10,SECTOR 28
879,ALDEA SANTA ROSA,0,DU09,SECTOR 27
0,ALDEA SUYAPA SECTOR 1,0,DU08,SECTOR 29
0,ALDEA SUYAPA SECTOR ALTOS DE SUYAPA,0,DU08,SECTOR 29
0,ALDEA SUYAPA SECTOR COLINAS DE JERUSALEM,0,DU08,SECTOR 29
0,ALDEA SUYAPA SECTOR EL CALVARIO,0,DU08,SECTOR 29
0,ALDEA SUYAPA SECTOR LA CRUZ,0,DU08,SECTOR 29
0,ALDEA SUYAPA SECTOR LA PLAZA,0,DU08,SECTOR 29
0,ALDEA SUYAPA SECTOR SAGRADO CORAZON,0,DU08,SECTOR 29
0,ALDEA SUYAPA SECTOR SAN ANTONIO,0,DU08,SECTOR 29
890,ALDEA YAGUACIRE CENTRO  (PARTE),2819,DU10,SECTOR 28
241,ANEXO LAS VEGAS,2130,DU03,SECTOR 21
0,AREA  A.M.D.C,2002,DU09,SECTOR 20
99,AREA DE RESERVA ECOLOGICA,0,DU02,SECTOR 18
0,AREA PRIVADA,2002,DU09,SECTOR 20
121,AREA VERDE,0,DU04,SECTOR 22
186,AREA VERDE,0,DU03,SECTOR 20
0,AREA VERDE VILLA NUEVA,1804,DU09,SECTOR 18
128,ASERRADERO,0,DU08,SECTOR 18
988,ASERRADERO LAMAS,0,DU04,SECTOR 24
476,AVENIDA LA PAZ,418,DU02,SECTOR 04
13,BARRIO ABAJO,101,DU01,SECTOR 01
467,BARRIO ALTOS DE LA CABAÑA,0,DU07,SECTOR 02
761,BARRIO BELEN,702,DU05,SECTOR 07
503,BARRIO BELLA VISTA,701,DU05,SECTOR 07
503,BARRIO BELLA VISTA NORTE,0,DU05,SECTOR 07
6,BARRIO BUENA VISTA,212,DU07,SECTOR 02
5,BARRIO BUENOS AIRES,201,DU07,SECTOR 02
509,BARRIO CAMAGUARA,0,DU05,SECTOR 06
19,BARRIO CASAMATA,302,DU07,SECTOR 03
498,BARRIO CENTRO DE COMAYAGUELA,617,DU01,SECTOR 06
494,BARRIO CERRO JUANA LAINEZ,508,DU02,SECTOR 05
755,BARRIO CHILE,732,DU06,SECTOR 07
502,BARRIO CONCEPCION,606,DU01,SECTOR 06
4,BARRIO EL BOSQUE,202,DU07,SECTOR 02
507,BARRIO EL CALVARIO,609,DU05,SECTOR 06
284,BARRIO EL CARRIZAL,2212,DU04,SECTOR 22
462,BARRIO EL CENTRO,103,DU01,SECTOR 01
283,BARRIO EL COCO,2211,DU04,SECTOR 22
11,BARRIO EL EDEN,204,DU07,SECTOR 02
15,BARRIO EL JAZMIN,104,DU01,SECTOR 01
470,BARRIO EL MANCHEN,303,DU07,SECTOR 03
506,BARRIO EL OBELISCO,612,DU01,SECTOR 06
17,BARRIO EL OLVIDO,105,DU01,SECTOR 01
802,BARRIO EL PASTEL,739,DU06,SECTOR 07
572,BARRIO EL RINCON,903,DU07,SECTOR 09
600,BARRIO GUACERIQUE,1202,DU04,SECTOR 12
459,BARRIO GUAJOCO,121,DU01,SECTOR 01
20,BARRIO GUANACASTE,106,DU07,SECTOR 01
505,BARRIO LA BOLSA,1201,DU04,SECTOR 12
460,BARRIO LA CABAÑA,203,DU07,SECTOR 02
499,BARRIO LA CHIVERA,611,DU06,SECTOR 06
7,BARRIO LA CONCORDIA,219,DU01,SECTOR 01
769,BARRIO LA ESPERANZA,712,DU05,SECTOR 07
820,BARRIO LA ESTRELLA,806,DU07,SECTOR 08
8,BARRIO LA FUENTE,213,DU01,SECTOR 02
612,BARRIO LA GRANJA,1213,DU04,SECTOR 12
491,BARRIO LA GUADALUPE,507,DU02,SECTOR 05
463,BARRIO LA HOYA,108,DU01,SECTOR 01
493,BARRIO LA ISLA,509,DU02,SECTOR 05
12,BARRIO LA LEONA,209,DU01,SECTOR 02
465,BARRIO LA MERCED,109,DU01,SECTOR 01
14,BARRIO LA MONCADA,115,DU01,SECTOR 01
496,BARRIO LA PAGODA,505,DU02,SECTOR 05
466,BARRIO LA PEDRERA,118,DU01,SECTOR 01
16,BARRIO LA PLAZUELA,110,DU01,SECTOR 01
464,BARRIO LA RONDA,111,DU01,SECTOR 01
52,BARRIO LA SOLEDAD,1317,DU11,SECTOR 13
647,BARRIO LA SOLEDAD No. 2,1317,DU11,SECTOR 13
501,BARRIO LAS CRUCITAS,733,DU05,SECTOR 07
457,BARRIO LAS DELICIAS,215,DU01,SECTOR 01
508,BARRIO LEMPIRA,602,DU05,SECTOR 06
461,BARRIO LOS DOLORES,114,DU01,SECTOR 01
492,BARRIO MORAZAN,504,DU02,SECTOR 05
481,BARRIO PARCALTAGUA,417,DU02,SECTOR 04
504,BARRIO PERPETUO SOCORRO,607,DU05,SECTOR 06
485,BARRIO PUEBLO NUEVO,413,DU02,SECTOR 04
2,BARRIO PUNTA CALIENTE,206,DU07,SECTOR 02
480,BARRIO SABANAGRANDE,419,DU02,SECTOR 04
482,BARRIO SAN FELIPE,412,DU02,SECTOR 04
609,BARRIO SAN JORGE,1204,DU04,SECTOR 12
278,BARRIO SAN JOSE,2202,DU04,SECTOR 22
510,BARRIO SAN JUAN DE DIOS,1339,DU05,SECTOR 13
803,BARRIO SAN MARTIN,740,DU06,SECTOR 07
21,BARRIO SAN PABLO,304,DU07,SECTOR 03
489,BARRIO SAN RAFAEL,415,DU02,SECTOR 04
525,BARRIO SAUCIQUE,802,DU07,SECTOR 08
500,BARRIO SIPILE,610,DU06,SECTOR 06
515,BARRIO VILLA ADELA,603,DU05,SECTOR 06
658,CARPINTERO,1508,DU07,SECTOR 15
0,CASERIO AGUA BLANCA,2912,DU08,SECTOR 29
842,CASERIO EL DURAZNO,1404,DU06,SECTOR 14
886,CASERIO EL ESPINAL (PARTE),2805,DU10,SECTOR 28
443,CASERIO EL GUAYABAL,0,DU04,SECTOR 23
866,CASERIO EL JICARO,2603,DU09,SECTOR 26
841,CASERIO EL LOLO,1403,DU06,SECTOR 14
843,CASERIO EL PORTILLO,1405,DU06,SECTOR 14
443,CASERIO LAS CASITAS,0,DU04,SECTOR 23
885,CASERIO OJO DE AGUA,0,DU10,SECTOR 28
118,CEMCOL,0,DU03,SECTOR 19
754,CEMENTERIO GENERAL,0,DU06,SECTOR 07
651,CEMENTERIO SANTA ANITA,0,DU11,SECTOR 13
0,CEMENTERIO SUYAPA,0,DU08,SECTOR 29
540,CERRITOS,904,DU07,SECTOR 09
535,CERRO EL PICACHO,0,DU07,SECTOR 08
494,CERRO JUANA LAINEZ,508,DU02,SECTOR 05
87,CHALET FRANCES SAN IGNACIO,1825,DU02,SECTOR 17
468,COLINAS DEL MAYANGLE,762,DU05,SECTOR 07
469,COLONA LAS JACARANDAS,310,DU07,SECTOR 03
0,COLONI A VILLA NUEVA SECTOR 2B,1804,DU08,SECTOR 18
66,COLONIA   19 DE SEPTIEMBRE,1306,DU11,SECTOR 13
650,COLONIA   23 DE JUNIO,1315,DU11,SECTOR 13
77,COLONIA   MONTES  DE BENDICION,1383,DU11,SECTOR 13
330,COLONIA  ALTOS DE SAN FRANCISCO,1305,DU11,SECTOR 13
454,COLONIA  ALTOS DEL BOSQUE,0,DU07,SECTOR 02
487,COLONIA  ARGENTINA,428,DU02,SECTOR 04
75,COLONIA  ARTURO QUEZADA,1346,DU11,SECTOR 13
147,COLONIA  COVESPUL,1817,DU08,SECTOR 18
544,COLONIA  EL MIRADOR,218,DU07,SECTOR 09
756,COLONIA  EL PORVENIR,731,DU06,SECTOR 07
817,COLONIA  EL SOCORRO,608,DU05,SECTOR 06
604,COLONIA  ELVEL,1107,DU02,SECTOR 11
415,COLONIA  GODOY,2314,DU04,SECTOR 23
764,COLONIA  GRANADA,705,DU05,SECTOR 07
652,COLONIA  ISRAEL NORTE,1314,DU11,SECTOR 13
564,COLONIA  LOMA LA MINITA,923,DU07,SECTOR 09
605,COLONIA  LOMA LINDA NORTE,1109,DU02,SECTOR 11
25,COLONIA  LOMA LINDA SUR,1110,DU02,SECTOR 11
37,COLONIA  MILENIUN,0,DU04,SECTOR 12
