Seq,Neighborhood,City,Sector,Zone,objectid,Neighborhood,Corr,Dist,SectorGis,,
16,13 DE FEBRERO,TEGUCIGALPA,2,R3,13,BARRIO ABAJO,101,DU01,,,
440,13 DE JULIO,TEGUCIGALPA,16,R3,719,COLONIA 13 DE JULIO,1615,DU02,SECTOR 16,,
825,14 DE ENERO,COMAYAGÜELA,25,R3,,,,,,,
111,14 DE FEBRERO,COMAYAGÜELA,7,R4,800,COLONIA 14 DE FEBRERO,728,DU06,SECTOR 07,,
729,15 DE SEPTIEMBRE,TEGUCIGALPA/ COMAYAGÜELA,23,R2,,,,,,,
533,17 DE SEPTIEMBRE,TEGUCIGALPA,18,R3,,,,,,,
322,19 DE SEPTIEMBRE,COMAYAGÜELA,13,R3,66,COLONIA   19 DE SEPTIEMBRE,1306,DU11,SECTOR 13,,
323,21 DE FEBRERO,COMAYAGÜELA,13,R3,646,COLONIA 21 DE FEBRERO,1301,DU11,SECTOR 13,,
208,21 DE OCTUBRE,TEGUCIGALPA,9,R3,560,COLONIA 21 DE OCTUBRE,912,DU07,SECTOR 09,,
324,23 DE JUNIO,COMAYAGÜELA,13,R3,650,COLONIA   23 DE JUNIO,1315,DU11,SECTOR 13,,
325,25 DE ENERO,COMAYAGÜELA,13,R3,83,COLONIA 25 DE ENERO,1381,DU11,SECTOR 13,,
441,28 DE MARZO,TEGUCIGALPA,16,R3,726,COLONIA 28 DE MARZO,1619,DU02,SECTOR 16,,
442,30 DE NOVIEMBRE,TEGUCIGALPA,16,R3,715,COLONIA 30 DE NOVIEMBRE,1607,DU08,SECTOR 16,,
730,AEROPUERTO,TEGUCIGALPA,23,R2,,,,,,,
702,AEROPUERTO TONCONTIN,TEGUCIGALPA/ COMAYAGUELA,22,G,,,,,,,
534,AGAFAM,TEGUCIGALPA,18,AR,,,,,,,
936,AGUA BLANCA,TEGUCIGALPA,29,R3,,,,,,,
731,AGUA DULCE,TEGUCIGALPA,23,R3,,,,,,,
732,AGUA DULCE SIN DESARROLLO,TEGUCIGALPA,23,R3,,,,,,,
247,ALAMEDA,TEGUCIGALPA,10,D3,591,COLONIA ALAMEDA,1001,DU02,SECTOR 10,,
285,ALAMO,COMAYAGÜELA,12,R3,46,COLONIA EL ALAMO,1207,DU04,SECTOR 12,,
733,ALDEA AGUA DULCE,TEGUCIGALPA,23,UR,,,,,,,
416,ALDEA CERRO GRANDE,TEGUCIGALPA/ COMAYAGUELA,14,UR/R3,839,ALDEA CERRO GRANDE,1402,DU06,SECTOR 14,,
891,ALDEA DE GERMANIA,TEGUCIGALPA,27,R3,,,,,,,
892,ALDEA DE GERMANIA (BALDIO),TEGUCIGALPA,27,UR,,,,,,,
602,ALDEA DE JACALEAPA,TEGUCIGALPA,20,R3,,,,,,,
937,ALDEA DE SUYAPA,TEGUCIGALPA,29,R3,,,,,,,
938,ALDEA DE SUYAPA (BALDIO),TEGUCIGALPA,29,UR,,,,,,,
911,ALDEA DE YAGUASIRE,TEGUCIGALPA,28,R3,,,,,,,
417,ALDEA EL DURAZNO,COMAYAGÜELA,14,UR,842,CASERIO EL DURAZNO,1404,DU06,SECTOR 14,,
912,ALDEA EL ESPINAL,TEGUCIGALPA,28,UR,,,,,,,
426,ALDEA EL HATILLO,TEGUCIGALPA,15,HATILLO,539,ALDEA EL HATILLO,1509,DU07,SECTOR 15,,
913,ALDEA EL LOARQUE (BALDIO),TEGUCIGALPA,28,UR,,,,,,,
427,ALDEA EL PILIGUIN,TEGUCIGALPA,15,HATILLO,,,,,,,
914,ALDEA EL SAUCE,TEGUCIGALPA,28,R3,,,,,,,
883,ALDEA EL TABLON,TEGUCIGALPA,26,UR,,,,,,,
428,ALDEA EL TRIGO,TEGUCIGALPA,15,HATILLO,538,EL TRIGO,940,DU07,SECTOR 09,,
638,ALDEA JACALEAPA (CASERIO LA CAÑADA No. 2),TEGUCIGALPA,21,R3,,,,,,,
639,ALDEA LA CAÑADA,TEGUCIGALPA,21,R3,,,,,,,
827,ALDEA LA CUESTA (BALDIO),COMAYAGÜELA,25,UR,,,,,,,
418,ALDEA LA CUESTA 418,COMAYAGÜELA,14,UR,844,ALDEA LA CUESTA No. 2,1407,DU06,SECTOR 14,,
826,ALDEA LA CUESTA 826,COMAYAGÜELA,25,R3,,,,,,,
565,ALDEA LA JOYA,TEGUCIGALPA,19,R3,,,,,,,
828,ALDEA LA SOLEDAD,COMAYAGÜELA,25,R4,,,,,,,
829,ALDEA LA SOLEDAD NO 2,COMAYAGÜELA,25,R3,,,,,,,
734,ALDEA LAS CASITAS,TEGUCIGALPA/ COMAYAGUELA,23,UR,,,,,,,
429,ALDEA LOS JUTES,TEGUCIGALPA,15,HATILLO,,,,,,,
893,ALDEA LOS JUTES,TEGUCIGALPA,27,UR,,,,,,,
998,ALDEA SANTA CRUZ,TEGUCIGALPA,54,R3,,,,,,,
640,ALEMAN,TEGUCIGALPA,21,R3,,,,,,,
112,ALEMANIA,COMAYAGÜELA,7,R3,783,COLONIA ALEMANIA,751,DU06,SECTOR 07,,
735,ALESSA,TEGUCIGALPA/ COMAYAGÜELA,23,R3,,,,,,,
641,ALPES,TEGUCIGALPA,21,R3,,,,,,,
85,ALTAMIRA,COMAYAGÜELA,5,R1,495,COLONIA ALTAMIRA,502,DU02,SECTOR 05,,
642,ALTOS DE JARDINES LOARQUE,TEGUCIGALPA,21,R3,,,,,,,
830,ALTOS DE LA CENTROAMERICA,COMAYAGÜELA,25,R3,,,,,,,
326,ALTOS DE LA DIVANNA,COMAYAGÜELA,13,R3,512,COLONIA ALTOS DE LA DIVANNA,1343,DU05,SECTOR 13,,
286,ALTOS DE LA GRANJA,COMAYAGÜELA,12,R4,367,RESIDENCIAL ALTOS DE  LA GRANJA (PROYECTO),9991,DU04,SECTOR 12,,
496,ALTOS DE LA GRANJA,TEGUCIGALPA,17,R1,367,RESIDENCIAL ALTOS DE  LA GRANJA (PROYECTO),9991,DU04,SECTOR 12,,
566,ALTOS DE LA JOYA,TEGUCIGALPA,19,R4,,,,,,,
831,ALTOS DE LA LAGUNA,COMAYAGÜELA,25,R4,,,,,,,
327,ALTOS DE LA MAYANGLE,COMAYAGÜELA,13,R3,631,COLONIA PIEDRA BLANCA (ALTOS DE LA MAYANGLE),1368,DU05,SECTOR 13,,
94,ALTOS DE LA PRIMAVERA,COMAYAGÜELA,6,R3,621,DU05,SECTOR 06,,,,
328,ALTOS DE LA SOLEDAD,COMAYAGÜELA,13,R3,,,,,,,
443,ALTOS DE LA TRAVESIA,TEGUCIGALPA,16,R3,0,COLONIA LA TRAVESIA,2913,DU08,SECTOR 16,,
567,ALTOS DE LAS COLINAS,COMAYAGÜELA,19,R2,,,,,,,
736,ALTOS DE LAS HADAS,TEGUCIGALPA,23,R3,,,,,,,
497,ALTOS DE LAS LOMAS,TEGUCIGALPA,17,R1,679,RESIDENCIAL ALTOS DE LAS LOMAS,1713,DU02,SECTOR 17,,
643,ALTOS DE LAS VEGAS,TEGUCIGALPA,21,R3,,,,,,,
644,ALTOS DE LOARQUE,TEGUCIGALPA,21,R3,,,,,,,
329,ALTOS DE LOS LAURELES,COMAYAGÜELA,13,R4,64,COLONIA ALTOS  DE LOS LAURELES,1303,DU11,SECTOR 13,,
603,ALTOS DE LOS PINOS,TEGUCIGALPA,20,R4,,,,,,,
568,ALTOS DE MIRAFLORES LOTE 32,TEGUCIGALPA,19,R2,,,,,,,
572,ALTOS DE MIRAFLORES SUR BLOQUE 37,TEGUCIGALPA,19,R3,,,,,,,
569,ALTOS DE MIRAFLORES SUR ETAPA 1,TEGUCIGALPA,19,R3,,,,,,,
573,ALTOS DE MIRAFLORES SUR ETAPA 2,TEGUCIGALPA,19,R3-R4,,,,,,,
570,ALTOS DE MIRAFLORES SUR LOTE 01 (CONDOMINIO HORIZONTAL),TEGUCIGALPA,19,R3,,,,,,,
571,ALTOS DE MIRAFLORES SUR LOTE 33 (CONDOMINIO HORIZONTAL),TEGUCIGALPA,19,R3,,,,,,,
17,ALTOS DE MIRAMESI,TEGUCIGALPA,2,R3,1,COLONIA MIRAMESI,205,DU07,,,
273,ALTOS DE MIRAMONTES,COMAYAGÜELA,11,R1,606,COLONIA ALTOS DE MIRAMONTES,1104,DU02,SECTOR 11,,
989,ALTOS DE MONTE REAL,TEGUCIGALPA,38,R1,,,,,,,
330,ALTOS DE SAN FRANCISCO,COMAYAGÜELA,13,R4,330,COLONIA  ALTOS DE SAN FRANCISCO,1305,DU11,SECTOR 13,,
645,ALTOS DE SAN ISIDRO,TEGUCIGALPA,21,R3,,,,,,,
703,ALTOS DE SAN JOSE,COMAYAGÜELA,22,R3,,,,,,,
894,ALTOS DE SANTA ROSA 27,TEGUCIGALPA,27,R3,,,,,,,
976,ALTOS DE SANTA ROSA 35,TEGUCIGALPA,35,R3,,,,,,,
287,ALTOS DE TILOARQUE,COMAYAGÜELA,12,R3,35,COLONIA ALTOS  DE TILOARQUE,1216,DU04,SECTOR 12,,
915,ALTOS DE TONCONTIN,TEGUCIGALPA,28,R3,,,,,,,
647,ALTOS DE VENECIA ETAPA 1 Y ETAPA 2,TEGUCIGALPA,21,R3,,,,,,,
646,ALTOS DE VENECIA ETAPA 3 (CONDOMINIO HORIZONTAL),TEGUCIGALPA,21,R3,,,,,,,
95,ALTOS DE VILLA ADELA,COMAYAGÜELA,6,R3,,,,,,,
604,ALTOS DE VILLA VIEJA,TEGUCIGALPA,20,R4,,,,,,,
331,ALTOS DEL MILAGRO,COMAYAGÜELA,13,R3,638,COLONIA ALTOS DEL MILAGRO,1338,DU05,SECTOR 13,,
832,ALTOS DEL PARAISO,COMAYAGÜELA,25,R4,,,,,,,
113,ALTOS DEL PEDREGALITO,COMAYAGÜELA,7,R4,766,COLONIA PEDREGALITO,707,DU05,SECTOR 07,,
536,"ALTOS DEL TRAPICHE ETAPA 1 , 2, 3, 4 Y 5",TEGUCIGALPA,18,R4,,,,,,,
535,ALTOS DEL TRAPICHE ETAPA VI (CONDOMINIO HORIZONTAL),TEGUCIGALPA,18,R3,,,,,,,
737,AMERICA,TEGUCIGALPA,23,R2,,,,,,,
444,ANEXO LA FRATERNIDAD,TEGUCIGALPA,16,R3,735,COLONIA LA FRATERNIDAD ANEXO,0,DU02,SECTOR 16,,
648,ANEXO LAS VEGAS,TEGUCIGALPA,21,R3,,,,,,,
332,ARCIERY 1,COMAYAGÜELA,13,R3,354,COLONIA ARCIERY,0,DU11,SECTOR 13,,
333,ARCIERY 2,COMAYAGÜELA,13,R3,79,COLONIA ARCIERY SECTOR II,1370,DU11,SECTOR 13,,
60,ARGENTINA,TEGUCIGALPA,4,R2,487,COLONIA  ARGENTINA,428,DU02,SECTOR 04,,
445,ARMANDO CALIDONIO,TEGUCIGALPA,16,R4,744,COLONIA ARMANDO CALIDONIO,1634,DU08,SECTOR 16,,
334,ARTURO QUEZADA,COMAYAGÜELA,13,R4,75,COLONIA  ARTURO QUEZADA,1346,DU11,SECTOR 13,,
288,ATLANTIC,COMAYAGÜELA,12,R3,49,RESIDENCIAL ATLANTIS,1223,DU04,SECTOR 12,,
833,AUSTRALIA,COMAYAGÜELA,25,R4,,,,,,,
61,AVENIDA LA PAZ,TEGUCIGALPA,4,D1,476,AVENIDA LA PAZ,418,DU02,SECTOR 04,,
114,AYESTAS,COMAYAGÜELA,7,R3,804,COLONIA LAS AYESTAS,742,DU06,SECTOR 07,,
430,BALDIO (ALDEA LOS JUTES),TEGUCIGALPA,15,HATILLO,,,,,,,
248,BALDIO (SABANAGRANDE),TEGUCIGALPA,10,R3,,,,,,,
1,BARRIO ABAJO,TEGUCIGALPA,1,CH,,,,,,,
289,BARRIO EL MIRADOR,COMAYAGÜELA,12,R3,51,MIRADOR DE TILOARQUE,1235,DU04,SECTOR 12,,
834,BARRIO LA CUESTA N01,COMAYAGÜELA,25,R3,,,,,,,
335,BARRIO LA SOLEDAD,COMAYAGÜELA,13,R3,52,BARRIO LA SOLEDAD,1317,DU11,SECTOR 13,,
42,BARRIO NUEVA VIERA,TEGUCIGALPA,3,R3,,,,,,,
56,BARRIO SAN PABLO,TEGUCIGALPA,3,R3,,,,,,,
179,BARRIO VIERA,TEGUCIGALPA,8,R3,468,COLONIA VIERA,301,DU07,SECTOR 03,,
115,BELEN,COMAYAGÜELA,7,R3,761,BARRIO BELEN,702,DU05,SECTOR 07,,
537,BELLA ORIENTE,TEGUCIGALPA,18,R2,,,,,,,
116,BELLA VISTA,COMAYAGÜELA,7,R3,503,BARRIO BELLA VISTA,701,DU05,SECTOR 07,,
336,BENDECK,COMAYAGÜELA,13,R3,511,COLONIA BENDECK,1337,DU05,SECTOR 13,,
605,BERNARDO DAZZI ETAPA 3,TEGUCIGALPA,20,R3,,,,,,,
574,BETANIA,COMAYAGÜELA,19,R3,,,,,,,
606,BETHEL,TEGUCIGALPA,20,R3,,,,,,,
209,BOLIVAR,TEGUCIGALPA,9,R3,530,COLONIA  NUEVA VIERA,0,DU07,SECTOR 08,,
799,BOLIVAR,COMAYAGÜELA,24,R3,21,BARRIO SAN PABLO,304,DU07,SECTOR 03,,
969,BOSQUES DE ALTAMIRA,TEGUCIGALPA,32,R3,468,COLONIA VIERA,301,DU07,SECTOR 03,,
117,BRASILIA,COMAYAGÜELA,7,R3,779,COLONIA BRASILIA,749,DU06,SECTOR 07,,
999,BRICEÑO,TEGUCIGALPA,54,R3,,,,,,,
607,BRISAS DE JACALEAPA,TEGUCIGALPA,20,R3,,,,,,,
649,BRISAS DE JACALEAPA,TEGUCIGALPA,21,R3/R4,,,,,,,
650,BRISAS DE JACALEAPA 4 ETAPA,TEGUCIGALPA,21,R4,,,,,,,
118,BRISAS DE LA LAGUNA,COMAYAGÜELA,7,R3,784,COLONIA BRISAS DE LA LAGUNA,761,DU06,SECTOR 07,,
119,BRISAS DE OLANCHO,COMAYAGÜELA,7,R4,791,COLONIA BRISAS DE OLANCHO,722,DU05,SECTOR 07,,
608,BRISAS DE ORIENTE 20,TEGUCIGALPA,20,R3,,,,,,,
970,BRISAS DE ORIENTE 32,TEGUCIGALPA,32,R4,,,,,,,
538,BRISAS DE SUYAPA,TEGUCIGALPA,18,R3,,,,,,,
704,BRISAS DEL CORTIJO,COMAYAGÜELA,22,R3,,,,,,,
337,BRISAS DEL MOGOTE,COMAYAGÜELA,13,R3,318,COLONIA BRISAS DEL MOGOTE,0,DU11,SECTOR 13,,
835,BRISAS DEL NORTE,COMAYAGÜELA,25,R4,,,,,,,
180,BRISAS DEL PICACHO/MINA DE AGUA,TEGUCIGALPA,8,R3,529,COLONIA  MINA DE AGUA O BRISAS DEL PICACHO,827,DU07,SECTOR 08,,
705,BRISAS DEL RIO,COMAYAGÜELA,22,R3,,,,,,,
249,BRISAS DEL VALLE 10,TEGUCIGALPA,10,R3,578,COLONIA BRISAS DEL VALLE,1017,DU02,SECTOR 10,,
446,BRISAS DEL VALLE 16,TEGUCIGALPA,16,R4,578,COLONIA BRISAS DEL VALLE,1017,DU02,SECTOR 10,,
18,BUENA VISTA NORTE,TEGUCIGALPA,2,R3,455,RESIDENCIAL BUENA VISTA,0,DU01,,,
19,BUENA VISTA SUR,TEGUCIGALPA,2,R3,455,RESIDENCIAL BUENA VISTA,0,DU01,,,
