Neighborhood,Zone,objectid,Neighborhood,Corr,Dist,SectorGis,,
13 DE FEBRERO,R3,13,BARRIO ABAJO,101,DU01,,,
13 DE JULIO,R3,719,COLONIA 13 DE JULIO,1615,DU02,SECTOR 16,,
14 DE ENERO,R3,616,COLONIA 14 DE ENERO,0,DU11,SECTOR 13,,
14 DE FEBRERO,R4,800,COLONIA 14 DE FEBRERO,728,DU06,SECTOR 07,,
15 DE SEPTIEMBRE,R2,124,COLONIA 15 DE SEPTIEMBRE,2321,DU04,SECTOR 23,,
17 DE SEPTIEMBRE,R3,157,COLONIA 17 DE SEPTIEMBRE,1810,DU08,SECTOR 18,,
19 DE SEPTIEMBRE,R3,66,COLONIA   19 DE SEPTIEMBRE,1306,DU11,SECTOR 13,,
21 DE FEBRERO,R3,646,COLONIA 21 DE FEBRERO,1301,DU11,SECTOR 13,,
21 DE OCTUBRE,R3,560,COLONIA 21 DE OCTUBRE,912,DU07,SECTOR 09,,
23 DE JUNIO,R3,650,COLONIA   23 DE JUNIO,1315,DU11,SECTOR 13,,
25 DE ENERO,R3,83,COLONIA 25 DE ENERO,1381,DU11,SECTOR 13,,
28 DE MARZO,R3,726,COLONIA 28 DE MARZO,1619,DU02,SECTOR 16,,
30 DE NOVIEMBRE,R3,715,COLONIA 30 DE NOVIEMBRE,1607,DU08,SECTOR 16,,
AEROPUERTO,R2,1024,COLONIA AEROPUERTO,2302,DU04,SECTOR 23,,
AEROPUERTO TONCONTIN,G,0,DU04,SECTOR 22,,,,
AGAFAM,AR,337,AGAFAM,0,DU08,SECTOR 18,,
AGUA BLANCA,R3,0,CASERIO AGUA BLANCA,2912,DU08,SECTOR 29,,
AGUA DULCE,R3,442,URBANIZACION AGUA DULCE,2328,DU04,SECTOR 23,,
AGUA DULCE SIN DESARROLLO,R3,411,AGUA DULCE,2310,DU10,SECTOR 23,,
ALAMEDA,D3,591,COLONIA ALAMEDA,1001,DU02,SECTOR 10,,
ALAMO,R3,46,COLONIA EL ALAMO,1207,DU04,SECTOR 12,,
ALDEA AGUA DULCE,UR,411,AGUA DULCE,2310,DU10,SECTOR 23,,
ALDEA CERRO GRANDE,UR/R3,839,ALDEA CERRO GRANDE,1402,DU06,SECTOR 14,,
ALDEA DE GERMANIA,R3,884,ALDEA GERMANIA,2701,DU09,SECTOR 27,,
ALDEA DE GERMANIA (BALDIO),UR,884,ALDEA GERMANIA,2701,DU09,SECTOR 27,,
ALDEA DE JACALEAPA,R3,867,ALDEA JACALEAPA,2604,DU09,SECTOR 26,,
ALDEA DE SUYAPA,R3,0,ALDEA DE SUYAPA,2906,,SECTOR 29,,
ALDEA DE SUYAPA (BALDIO),UR,0,ALDEA DE SUYAPA,2906,,SECTOR 29,,
ALDEA DE YAGUASIRE,R3,890,ALDEA YAGUACIRE CENTRO  (PARTE),2819,DU10,SECTOR 28,,
ALDEA EL DURAZNO,UR,842,CASERIO EL DURAZNO,1404,DU06,SECTOR 14,,
ALDEA EL ESPINAL,UR,,,,,,,
ALDEA EL HATILLO,HATILLO,539,ALDEA EL HATILLO,1509,DU07,SECTOR 15,,
ALDEA EL LOARQUE (BALDIO),UR,908,ALDEA LOARQUE (MIMBRE),2805,DU10,SECTOR 28,,
