ogc_fid,sector,cod_col,name,NEIGHBORHOOD,alias,AliasType,GISID,uid
1851,32,0,3207,3207,3207,Default,829,32-320XXX-001
3268,16,1615,COLONIA 13 DE JULIO,13 DE JULIO,13 DE JULIO,Default,150,16-13JULX-001
18128,7,728,COLONIA 14 DE FEBRERO,14 DE FEBRERO,14 DE FEBRERO,Default,433,07-14FEBX-001
4951,21,2108,COLONIA 14 DE MARZO,14 DE MARZO,14 DE MARZO,Default,869,21-14MARX-001
9249,23,2321,COLONIA 15 DE SEPTIEMBRE,15 DE SEPTIEMBRE,15 DE SEPTIEMBRE,Default,808,23-15SEPX-001
2182,18,1810,COLONIA 17 DE SEPTIEMBRE,17 DE SEPTIEMBRE,17 DE SEPTIEMBRE,Default,695,18-17SEPX-001
1354,13,1306,COLONIA 19 DE SEPTIEMBRE,19 DE SEPTIEMBRE,19 DE SEPTIEMBRE,Default,1130,13-19SEPX-001
11706,13,1301,COLONIA 21 DE FEBRERO,21 DE FEBRERO,21 DE FEBRERO,Default,184,13-21FEBX-001
1,9,912,COLONIA 21 DE OCTUBRE,21 DE OCTUBRE,21 DE OCTUBRE,Default,258,09-21OCTX-001
11639,13,1315,COLONIA 23 DE JUNIO,23 DE JUNIO,23 DE JUNIO,Default,189,13-23JUNX-001
24024,23,1315,COLONIA 23 DE JUNIO,23 DE JUNIO,23 DE JUNIO,Default,254,23-23JUNX-001
7665,13,1381,COLONIA 25 DE ENERO,25 DE ENERO,25 DE ENERO,Default,1189,13-25ENEX-001
1990,16,1619,COLONIA 28 DE MARZO,28 DE MARZO,28 DE MARZO,Default,314,16-28MARX-001
5829,7,744,COLONIA 3 DE MAYO,3 DE MAYO,3 DE MAYO,Default,130,07-3MAYXX-001
7806,16,1607,COLONIA 30 DE NOVIEMBRE,30 DE NOVIEMBRE,30 DE NOVIEMBRE,Default,438,16-30NOVX-001
22252,13,0,COLONIA 4 DE ENERO,4 DE ENERO,4 DE ENERO,Default,8,13-4ENEXX-001
36,43,4312,43-0001-094,43-0001-094,43-0001-094,Default,979,43-43000X-001
10818,16,1619,COLONIA 8 DE MARZO,8 DE MARZO,8 DE MARZO,Default,144,16-8MARXX-001
1058,1,101,BARRIO ABAJO,ABAJO,ABAJO,Default,344,01-ABAXXX-001
13443,21,2139,COLONIA ABELARDO R FORTIN,ABELARDO R FORTIN,ABELARDO R FORTIN,Default,708,21-ABERXX-001
4532,25,2509,COLONIA ABRAHAN LINCOLN,ABRAHAN LINCOLN,ABRAHAN LINCOLN,Default,187,25-ABRLIN-001
9295,25,2505,COLONIA ACACIAS,ACACIAS,ACACIAS,Default,1093,25-ACAXXX-001
11979,23,2310,ADUA DULCE,ADUA DULCE,ADUA DULCE,Default,1301,23-ADUDUL-001
9270,23,2302,COLONIA AEREOPUERTO,AEREOPUERTO,AEREOPUERTO,Default,614,23-AERXXX-001
9463,29,2912,AGUA BLANCA,AGUA BLANCA,AGUA BLANCA,Default,844,29-AGUBLA-001
8688,35,3546,AGUA DULCE,AGUA DULCE,AGUA DULCE,Default,890,35-AGUDUL-001
8,10,1001,COLONIA ALAMEDA,ALAMEDA,ALAMEDA,Default,949,10-ALAXXX-001
14722,21,2158,ALCAZARES DE LA CA√ëADA,ALCAZARES DE LA CAÑADA,ALCAZARES DE LA CAÑADA,Default,304,21-ALCCA√ë-001
9616,35,3530,ALDA EL TIZATILLO ALDEA LOS MATEADOS,ALDA EL TIZATILLO ALDEA LOS MATEADOS,ALDA EL TIZATILLO ALDEA LOS MATEADOS,Default,942,35-ALDTIZ-002
4487,21,2127,ALDA LA CA√ëADA,ALDA LA CAÑADA,ALDA LA CAÑADA,Default,1220,21-ALDCA√ë-002
1085,36,3612,ALDA LAS TAPIAS,ALDA LAS TAPIAS,ALDA LAS TAPIAS,Default,804,36-ALDTAP-002
1505,36,3609,ALDE A LAS CASITAS CERRO DE LOS CULUCOS,ALDE A LAS CASITAS CERRO DE LOS CULUCOS,ALDE A LAS CASITAS CERRO DE LOS CULUCOS,Default,627,36-ALDAXX-001
40,44,4410,ALDE SAN FRANCISCO DE SOROGUARA,ALDE SAN FRANCISCO DE SOROGUARA,ALDE SAN FRANCISCO DE SOROGUARA,Default,981,44-ALDSAN-001
46,30,301,ALDEA AGUA BLANCA,ALDEA AGUA BLANCA,ALDEA AGUA BLANCA,Default,631,30-ALDAGU-001
23,34,3408,ALDEA AZACUALPA,ALDEA AZACUALPA,ALDEA AZACUALPA,Default,406,34-ALDAZA-001
85,33,3302,ALDEA AZACUALPA,ALDEA AZACUALPA,ALDEA AZACUALPA,Default,511,33-ALDAZA-001
454,56,5614,ALDEA CERRO GRANDE,ALDEA CERRO GRANDE,ALDEA CERRO GRANDE,Default,1302,56-ALDCER-001
619,58,5803,ALDEA COFRADIA,ALDEA COFRADIA,ALDEA COFRADIA,Default,736,58-ALDCOF-001
31,50,5007,ALDEA CORRALITOS,ALDEA CORRALITOS,ALDEA CORRALITOS,Default,425,50-ALDCOR-001
3104,27,2701,ALDEA DE GERMANIA,ALDEA DE GERMANIA,ALDEA DE GERMANIA,Default,1240,27-ALDGER-002
105,50,5006,ALDEA DE JUTIAPA,ALDEA DE JUTIAPA,ALDEA DE JUTIAPA,Default,471,50-ALDJUT-001
9765,35,3529,ALDEA DE LA NUEVA CONCEPCION,ALDEA DE LA NUEVA CONCEPCION,ALDEA DE LA NUEVA CONCEPCION,Default,739,35-ALDNUE-001
824,55,5524,ALDEA DE SOROGUARA,ALDEA DE SOROGUARA,ALDEA DE SOROGUARA,Default,1193,55-ALDSOR-002
776,29,2906,ALDEA DE SUYAPA,ALDEA DE SUYAPA,ALDEA DE SUYAPA,Default,899,29-ALDSUY-008
11027,16,1623,ALDEA DE SUYAPA,ALDEA DE SUYAPA,ALDEA DE SUYAPA,Default,930,16-ALDSUY-003
1324,17,1710,ALDEA DE SUYAPA,ALDEA DE SUYAPA,ALDEA DE SUYAPA,Default,1060,17-ALDSUY-002
1274,54,5438,ALDEA DE TAMARA,ALDEA DE TAMARA,ALDEA DE TAMARA,Default,1128,54-ALDTAM-003
2882,41,4101,ALDEA DE TAMARA,ALDEA DE TAMARA,ALDEA DE TAMARA,Default,1250,41-ALDTAM-002
1277,54,5438,ALDEA DE TAMARA ( EL QUEBRACHAL ),ALDEA DE TAMARA ( EL QUEBRACHAL ),ALDEA DE TAMARA ( EL QUEBRACHAL ),Default,575,54-ALDTAM-001
9877,35,3516,ALDEA DE YAGUACIRE,ALDEA DE YAGUACIRE,ALDEA DE YAGUACIRE,Default,602,35-ALDYAG-001
694,42,4203,ALDEA DE ZAMBRANO,ALDEA DE ZAMBRANO,ALDEA DE ZAMBRANO,Default,481,42-ALDZAM-002
37,43,4312,ALDEA DE ZAMBRANO,ALDEA DE ZAMBRANO,ALDEA DE ZAMBRANO,Default,516,43-ALDZAM-001
18763,7,1355,ALDEA  EL CARRIZAL,ALDEA EL CARRIZAL,ALDEA EL CARRIZAL,Default,954,07-ALDCAR-001
461,14,1406,ALDEA EL CARRIZAL,ALDEA EL CARRIZAL,ALDEA EL CARRIZAL,Default,956,14-ALDCAR-001
13630,7,716,ALDEA EL CARRIZAL,ALDEA EL CARRIZAL,ALDEA EL CARRIZAL,Default,1132,07-ALDCAR-002
2148,14,1404,ALDEA EL DURAZNO,ALDEA EL DURAZNO,ALDEA EL DURAZNO,Default,537,14-ALDDUR-001
926,56,5605,ALDEA EL GUANABANO,ALDEA EL GUANABANO,ALDEA EL GUANABANO,Default,985,56-ALDGUA-002
2002,55,5519,ALDEA EL GUANABANO,ALDEA EL GUANABANO,ALDEA EL GUANABANO,Default,1031,55-ALDGUA-001
127,50,5008,ALDEA EL HATILLO,ALDEA EL HATILLO,ALDEA EL HATILLO,Default,27,50-ALDHAT-001
162,50,5008,ALDEA EL HATILLO - LAS PRIMAVERAS,ALDEA EL HATILLO - LAS PRIMAVERAS,ALDEA EL HATILLO - LAS PRIMAVERAS,Default,333,50-ALDHAT-004
121,50,5008,ALDEA EL HATILLO ( LAS PRIMAVERAS ),ALDEA EL HATILLO ( LAS PRIMAVERAS ),ALDEA EL HATILLO ( LAS PRIMAVERAS ),Default,129,50-ALDHAT-002
119,50,5007,ALDEA EL HATILLO CORRALITOS,ALDEA EL HATILLO CORRALITOS,ALDEA EL HATILLO CORRALITOS,Default,177,50-ALDHAT-003
1623,26,2604,ALDEA EL JACALEAPA,ALDEA EL JACALEAPA,ALDEA EL JACALEAPA,Default,104,26-ALDJAC-001
3071,21,2132,ALDEA EL LOARQUE,ALDEA EL LOARQUE,ALDEA EL LOARQUE,Default,965,21-ALDLOA-001
4463,28,2805,ALDEA EL LOARQUE (MIMBRE),ALDEA EL LOARQUE (MIMBRE),ALDEA EL LOARQUE (MIMBRE),Default,789,28-ALDLOA-002
2113,14,1403,ALDEA EL LOLO,ALDEA EL LOLO,ALDEA EL LOLO,Default,598,14-ALDLOL-001
25,59,5901,ALDEA EL NARANJAL,ALDEA EL NARANJAL,ALDEA EL NARANJAL,Default,51,59-ALDNAR-001
2161,28,2811,ALDEA EL SAUCE,ALDEA EL SAUCE,ALDEA EL SAUCE,Default,439,28-ALDSAU-001
72,26,2602,ALDEA EL TABLON,ALDEA EL TABLON,ALDEA EL TABLON,Default,666,26-ALDTAB-001
5939,35,3507,ALDEA EL TIZATILLO,ALDEA EL TIZATILLO,ALDEA EL TIZATILLO,Default,63,35-ALDTIZ-001
911,27,0,ALDEA EL TIZATILLO,ALDEA EL TIZATILLO,ALDEA EL TIZATILLO,Default,300,27-ALDTIZ-001
11947,16,1637,ALDEA EL TRAPICHE,ALDEA EL TRAPICHE,ALDEA EL TRAPICHE,Default,591,16-ALDTRA-001
1384,15,1505,ALDEA EL TRIGO,ALDEA EL TRIGO,ALDEA EL TRIGO,Default,628,15-ALDTRI-001
266,38,,ALDEA EMPEDRADO MATEO,ALDEA EMPEDRADO MATEO,ALDEA EMPEDRADO MATEO,Default,322,38-ALDEMP-001
2130,55,5509,ALDEA GASCULILE,ALDEA GASCULILE,ALDEA GASCULILE,Default,209,55-ALDGAS-001
4168,27,2701,ALDEA  GERMANIA,ALDEA GERMANIA,ALDEA GERMANIA,Default,1157,27-ALDGER-001
888,56,5606,ALDEA GUADALUPE (RIO HONDO),ALDEA GUADALUPE (RIO HONDO),ALDEA GUADALUPE (RIO HONDO),Default,208,56-ALDGUA-001
