neighborhood_uid,Seq,neighborhood,CIUDAD,TIPO O COLONIA,SE CT O R,ZONIFICA CIÓN,APPROVAL_DATE
01-BRRBJ-001,1,BARRIO ABAJO,TEGUCIGALPA,Barrio/Colonia,1,CH,
01-CNTR-001,2,CENTRO,TEGUCIGALPA,Barrio/Colonia,1,CH,
01-LJSMN-001,3,EL JASMIN,TEGUCIGALPA,Barrio/Colonia,1,CH,
01-LLVD-001,4,EL OLVIDO,TEGUCIGALPA,Barrio/Colonia,1,CH,
01-FNLY-001,5,FINLAY,TEGUCIGALPA,Barrio/Colonia,1,CH,
01-GJC-001,6,GUAJOCO,TEGUCIGALPA,Barrio/Colonia,1,CH,
01-GNCST-001,7,GUANACASTE,TEGUCIGALPA,Barrio/Colonia,1,CH,
01-LCNCR-001,8,LA CONCORDIA,TEGUCIGALPA,Barrio/Colonia,1,CH,
01-LHY-001,9,LA HOYA,TEGUCIGALPA,Barrio/Colonia,1,CH,
01-LMRCD-001,10,LA MERCED,TEGUCIGALPA,Barrio/Colonia,1,CH,
01-LMNCD-001,11,LA MONCADA,TEGUCIGALPA,Barrio/Colonia,1,CH,
01-LPDRR-001,12,LA PEDRERA,TEGUCIGALPA,Barrio/Colonia,1,CH,
01-LPLZL-001,13,LA PLAZUELA,TEGUCIGALPA,Barrio/Colonia,1,CH,
01-LRND-001,14,LA RONDA,TEGUCIGALPA,Barrio/Colonia,1,CH,
01-LSDLR-001,15,LOS DOLORES,TEGUCIGALPA,Barrio/Colonia,1,CH,
02-13DFB-001,16,13 DE FEBRERO,TEGUCIGALPA,Barrio/Colonia,2,R3,
02-LTSDM-001,17,ALTOS DE MIRAMESI,TEGUCIGALPA,Barrio/Colonia,2,R3,
02-BNVST-001,18,BUENA VISTA NORTE,TEGUCIGALPA,Barrio/Colonia,2,R3,
02-BNVST-002,19,BUENA VISTA SUR,TEGUCIGALPA,Barrio/Colonia,2,R3,
