N°,NOMBRE DE BARRIO O COLONIA,neighborhood,CIUDAD,TIPO O COLONIA,SE CT O R,ZONIFICA CIÓN,approval_year,DICTAMEN / ACUERDO DE APROBACION,PARAMETROS  MINIMOS (APROBADOS EN DICTAMEN/ACUERDO)
1,BARRIO ABAJO,BARRIO ABAJO,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
2,CENTRO,CENTRO,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
3,EL JASMIN,EL JASMIN,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
4,EL OLVIDO,EL OLVIDO,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
5,FINLAY,FINLAY,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
6,GUAJOCO,GUAJOCO,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
7,GUANACASTE,GUANACASTE,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
8,LA CONCORDIA,LA CONCORDIA,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
9,LA HOYA,LA HOYA,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
10,LA MERCED,LA MERCED,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
11,LA MONCADA,LA MONCADA,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
12,LA PEDRERA,LA PEDRERA,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
13,LA PLAZUELA,LA PLAZUELA,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
14,LA RONDA,LA RONDA,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
15,LOS DOLORES,LOS DOLORES,TEGUCIGALPA,Barrio/Colonia,1,CH,,,
16,13 DE FEBRERO,13 DE FEBRERO,TEGUCIGALPA,Barrio/Colonia,2,R3,,,
17,ALTOS DE MIRAMESI,ALTOS DE MIRAMESI,TEGUCIGALPA,Barrio/Colonia,2,R3,,,
18,BUENA VISTA NORTE,BUENA VISTA NORTE,TEGUCIGALPA,Barrio/Colonia,2,R3,,,
19,BUENA VISTA SUR,BUENA VISTA SUR,TEGUCIGALPA,Barrio/Colonia,2,R3,,,
