Listing ID,title,neighborhood,bedrooms,bathrooms,area,area_unit,area_m2,AT,AT_unit,price,currency,transaction,property_type,agency,date,notes,source_type,ingestion_id,pipeline_version,source_file,source_agency,year_month,dedup_key,dedup_group_id,dedup_role
2,Enchanted Forest; Imagina vivir en este departamento de 1 ha,Enchanted Forest,1,,135,m²,,,,339563.0,USD,Sale,House,Casamagica,2026-04-15,Enchanted Forest; Imagina vivir en este departamento de 1 habitaciones; con 135 M2 de lujo; USD 339563 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,fb7aa33136f57588baa80cd0c42b4218,45,CANONICAL
3,Crystal Sea; Imagina vivir en este departamento de 3 habitac,Crystal Sea,3,,41,m²,,,,175408.0,USD,Sale,House,Casamagica,2026-04-15,Crystal Sea; Imagina vivir en este departamento de 3 habitaciones; con 41 M2 de lujo; USD 175408 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,883fbb22931cfa15b05a677295b7a4d9,22,CANONICAL
4,Ro Tranquilo; Imagina vivir en este departamento de 2 habita,Ro Tranquilo,2,,136,m²,,,,97574.0,USD,Sale,House,Casamagica,2026-04-15,Ro Tranquilo; Imagina vivir en este departamento de 2 habitaciones; con 136 M2 de lujo; USD 97574 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,9877a63684aa3a970df3eaf081b88c6a,23,CANONICAL
5,Ro Tranquilo; Imagina vivir en este departamento de 4 habita,Ro Tranquilo,4,,155,m²,,,,432115.0,USD,Sale,House,Casamagica,2026-04-15,Ro Tranquilo; Imagina vivir en este departamento de 4 habitaciones; con 155 M2 de lujo; USD 432115 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,60fe21e49a480309dab980227bf615a0,17,CANONICAL
6,Residencial Chessboard; Imagina vivir en este departamento d,RES Chessboard,2,,110,m²,,,,223161.0,USD,Sale,House,Casamagica,2026-04-15,Residencial Chessboard; Imagina vivir en este departamento de 2 habitaciones; con 110 M2 de lujo; USD 223161 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,6dc66665b67a3d324aa5a81032669c98,18,CANONICAL
7,Ro Tranquilo; Imagina vivir en este departamento de 2 habita,Ro Tranquilo,2,,173,m²,,,,7434370.0,USD,Sale,House,Casamagica,2026-04-15,Ro Tranquilo; Imagina vivir en este departamento de 2 habitaciones; con 173 M2 de lujo; USD 7434370 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,bc7cbd6e0951511fd46b771b03143905,30,CANONICAL
8,Isla del Sol; Imagina vivir en este departamento de 2 habita,Isla del Sol,2,,139,m²,,,,192398.0,USD,Sale,House,Casamagica,2026-04-15,Isla del Sol; Imagina vivir en este departamento de 2 habitaciones; con 139 M2 de lujo; USD 192398 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,252de9b2f7a3f52fae340c526382033e,7,CANONICAL
9,Viento del Norte; Imagina vivir en este departamento de 3 ha,Viento del Norte,3,,140,m²,,,,1813143.0,USD,Sale,House,Casamagica,2026-04-15,Viento del Norte; Imagina vivir en este departamento de 3 habitaciones; con 140 M2 de lujo; USD 1813143 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,4271532e29f423ce62a35e80402ed9ca,14,CANONICAL
10,Montaas Mgicas; Imagina vivir en este departamento de 3 habi,Montaas Mgicas,3,,99,m²,,,,332242.0,USD,Sale,House,Casamagica,2026-04-15,Montaas Mgicas; Imagina vivir en este departamento de 3 habitaciones; con 99 M2 de lujo; USD 332242 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,bf309ee4a9539d4f4deb166aa4fa4f70,32,CANONICAL
11,Magic Mountains; Imagina vivir en este departamento de 1 hab,Magic Mountains,1,,112,m²,,,,9296504.0,USD,Sale,House,Casamagica,2026-04-15,Magic Mountains; Imagina vivir en este departamento de 1 habitaciones; con 112 M2 de lujo; USD 9296504 ; Perfecto para aquellos que buscan comodidad y conveniencia.,ocr_manual,casamagica_20260415.txt,v1.0,casamagica_20260415.csv,Casamagica,2026-04,76fc861ff6fa2948df415146700fb286,19,CANONICAL
