Listing ID,title,neighborhood,bedrooms,bathrooms,AT,AT_unit,area,area_unit,area_m2,price,currency,transaction,property_type,agency,date,notes,source_type,ingestion_id,pipeline_version
2,"Centro de Hobitown, apartamento 2 hab 1 baño, 65 m², balcón ",Centro de Hobitown,2,1.0,,,65,m²,,480.0,USD,Rent,House,Hobitown,2010-03-12,"Centro de Hobitown, apartamento 2 hab 1 baño, 65 m2, balcón pequeño, sin garaje, ambiente tranquilo, $480 mensuales",ocr_manual,hobitown_20100312.txt,v1.0
3,"Barrio Bolsón Verde, casa de 2 habitaciones, 1 baño, 120 m²,",Barrio Bolsón Verde,2,1.0,,,120,m²,,600.0,USD,Rent,House,Hobitown,2010-03-12,"Barrio Bolsón Verde, casa de 2 habitaciones, 1 baño, 120 m2, patio frontal, ideal familia pequeña, $600 al mes",ocr_manual,hobitown_20100312.txt,v1.0
4,"Sector Mercado Antiguo, apartamento 1 hab 1 baño, 42 m², edi",Sector Mercado Antiguo,1,1.0,,,42,m²,,350.0,USD,Rent,House,Hobitown,2010-03-12,"Sector Mercado Antiguo, apartamento 1 hab 1 baño, 42 m2, edificio viejo pero seguro, $350 mensuales",ocr_manual,hobitown_20100312.txt,v1.0
5,"Avenida del Río, casa de 3 hab 2 baños, 150 m², sala amplia,",Avenida del Río,3,2.0,,,150,m²,,720.0,USD,Rent,House,Hobitown,2010-03-12,"Avenida del Río, casa de 3 hab 2 baños, 150 m2, sala amplia, buena ventilación, $720 mensuales",ocr_manual,hobitown_20100312.txt,v1.0
6,"Colonia Colina Hobbit, apartamento 2 hab 1 baño, 70 m², segu",Colonia Colina Hobbit,2,1.0,,,70,m²,,510.0,USD,Rent,House,Hobitown,2010-03-12,"Colonia Colina Hobbit, apartamento 2 hab 1 baño, 70 m2, segundo nivel, zona residencial, $510 al mes",ocr_manual,hobitown_20100312.txt,v1.0
7,"Camino del Molino, casa sencilla de 2 habitaciones, 1 baño, ",Camino del Molino,2,1.0,,,95,m²,,470.0,USD,Rent,House,Hobitown,2010-03-12,"Camino del Molino, casa sencilla de 2 habitaciones, 1 baño, 95 m2, sin garaje, $470 mensuales",ocr_manual,hobitown_20100312.txt,v1.0
8,"Barrio Pradera Sur, apartamento 3 hab 2 baños, 90 m², buena ",Barrio Pradera Sur,3,2.0,,,90,m²,,690.0,USD,Rent,House,Hobitown,2010-03-12,"Barrio Pradera Sur, apartamento 3 hab 2 baños, 90 m2, buena iluminación natural, $690 mensuales",ocr_manual,hobitown_20100312.txt,v1.0
9,"Sendero del Roble, casa familiar de 4 hab 2 baños, 180 m², p",Sendero del Roble,4,2.0,,,180,m²,,880.0,USD,Rent,House,Hobitown,2010-03-12,"Sendero del Roble, casa familiar de 4 hab 2 baños, 180 m2, patio amplio, $880 mensuales",ocr_manual,hobitown_20100312.txt,v1.0
11,"Centro de Hobitown, apartamento 2 hab 1 baño, 68 m², balcón ",Centro de Hobitown,2,1.0,,,68,m²,,66000.0,USD,Sale,House,Hobitown,2010-03-12,"Centro de Hobitown, apartamento 2 hab 1 baño, 68 m2, balcón frontal, edificio antiguo bien conservado, precio $66,000",ocr_manual,hobitown_20100312.txt,v1.0
12,"Barrio Bolsón Verde, casa de 3 habitaciones 2 baños, 140 m²,",Barrio Bolsón Verde,3,2.0,,,140,m²,,112000.0,USD,Sale,House,Hobitown,2010-03-12,"Barrio Bolsón Verde, casa de 3 habitaciones 2 baños, 140 m2, patio trasero y corredor, $112,000",ocr_manual,hobitown_20100312.txt,v1.0
13,"Sector Mercado Antiguo, apartamento 1 hab 1 baño, 45 m², ide",Sector Mercado Antiguo,1,1.0,,,45,m²,,53000.0,USD,Sale,House,Hobitown,2010-03-12,"Sector Mercado Antiguo, apartamento 1 hab 1 baño, 45 m2, ideal inversión, precio $53,000",ocr_manual,hobitown_20100312.txt,v1.0
14,"Avenida del Río, casa amplia de 4 hab 3 baños, 200 m², const",Avenida del Río,4,3.0,,,200,m²,,158000.0,USD,Sale,House,Hobitown,2010-03-12,"Avenida del Río, casa amplia de 4 hab 3 baños, 200 m2, construcción sólida, $158,000",ocr_manual,hobitown_20100312.txt,v1.0
15,"Colonia Colina Hobbit, apartamento 2 hab 1 baño, 72 m², vist",Colonia Colina Hobbit,2,1.0,,,72,m²,,73000.0,USD,Sale,House,Hobitown,2010-03-12,"Colonia Colina Hobbit, apartamento 2 hab 1 baño, 72 m2, vista a la ciudad, $73,000",ocr_manual,hobitown_20100312.txt,v1.0
16,"Camino del Molino, casa de 3 hab 1 baño, 110 m², necesita re",Camino del Molino,3,1.0,,,110,m²,,80000.0,USD,Sale,House,Hobitown,2010-03-12,"Camino del Molino, casa de 3 hab 1 baño, 110 m2, necesita reparaciones, precio $80,000",ocr_manual,hobitown_20100312.txt,v1.0
17,"Barrio Pradera Sur, apartamento moderno 3 hab 2 baños, 95 m²",Barrio Pradera Sur,3,2.0,,,95,m²,,123000.0,USD,Sale,House,Hobitown,2010-03-12,"Barrio Pradera Sur, apartamento moderno 3 hab 2 baños, 95 m2, área social, $123,000",ocr_manual,hobitown_20100312.txt,v1.0
18,"Sendero del Roble, casa grande de 5 habitaciones, 3 baños, 2",Sendero del Roble,5,3.0,260,m²,,,,205000.0,USD,Sale,House,Hobitown,2010-03-12,"Sendero del Roble, casa grande de 5 habitaciones, 3 baños, 260 m2, terreno amplio, $205,000",ocr_manual,hobitown_20100312.txt,v1.0
