Listing ID,title,neighborhood,bedrooms,bathrooms,AT,AT_unit,area,area_unit,area_m2,price,currency,transaction,property_type,agency,date,notes,source_type,ingestion_id,pipeline_version
2,"Centro de Loontoon: apartamento 1 hab 1 baño, 48 m², ideal s",Centro de Loontoon,1,1.0,,,48,m²,,360.0,USD,Rent,House,Loontoon,2010-04-11,"Centro de Loontoon: apartamento 1 hab 1 baño, 48 m2, ideal soltero, edificio tranquilo, $360 mensuales",ocr_manual,loontoon_20100411.txt,v1.0
3,"Barrio Carrot Hills: casa de 2 habitaciones, 1 baño, 110 m²,",Barrio Carrot Hills,2,1.0,,,110,m²,,590.0,USD,Rent,House,Loontoon,2010-04-11,"Barrio Carrot Hills: casa de 2 habitaciones, 1 baño, 110 m2, patio frontal, zona silenciosa, $590 al mes",ocr_manual,loontoon_20100411.txt,v1.0
4,"Avenida Warner: apartamento 2 hab 1 baño, 70 m², balcón pequ",Avenida Warner,2,1.0,,,70,m²,,520.0,USD,Rent,House,Loontoon,2010-04-11,"Avenida Warner: apartamento 2 hab 1 baño, 70 m2, balcón pequeño, cerca de comercios, $520 mensuales",ocr_manual,loontoon_20100411.txt,v1.0
5,"Sector Old Studio: casa de 3 hab 2 baños, 145 m², sala ampli",Sector Old Studio,3,2.0,,,145,m²,,730.0,USD,Rent,House,Loontoon,2010-04-11,"Sector Old Studio: casa de 3 hab 2 baños, 145 m2, sala amplia, buena ventilación, $730 mensuales",ocr_manual,loontoon_20100411.txt,v1.0
6,"Colonia Bunny Park: apartamento 3 hab 2 baños, 88 m², segund",Colonia Bunny Park,3,2.0,,,88,m²,,680.0,USD,Rent,House,Loontoon,2010-04-11,"Colonia Bunny Park: apartamento 3 hab 2 baños, 88 m2, segundo nivel, ambiente familiar, $680 al mes",ocr_manual,loontoon_20100411.txt,v1.0
7,"Camino del Lago: casa sencilla de 2 habitaciones, 1 baño, 90",Camino del Lago,2,1.0,,,90,m²,,460.0,USD,Rent,House,Loontoon,2010-04-11,"Camino del Lago: casa sencilla de 2 habitaciones, 1 baño, 90 m2, sin garaje, $460 mensuales",ocr_manual,loontoon_20100411.txt,v1.0
8,"Barrio Central Toons: apartamento 2 hab 1 baño, 62 m², edifi",Barrio Central Toons,2,1.0,,,62,m²,,490.0,USD,Rent,House,Loontoon,2010-04-11,"Barrio Central Toons: apartamento 2 hab 1 baño, 62 m2, edificio antiguo pero seguro, $490 mensuales",ocr_manual,loontoon_20100411.txt,v1.0
9,"Loma del Pato: casa familiar de 4 hab 2 baños, 175 m², patio",Loma del Pato,4,2.0,,,175,m²,,890.0,USD,Rent,House,Loontoon,2010-04-11,"Loma del Pato: casa familiar de 4 hab 2 baños, 175 m2, patio amplio, $890 mensuales",ocr_manual,loontoon_20100411.txt,v1.0
11,"Centro de Loontoon: apartamento 1 hab 1 baño, 50 m², ideal i",Centro de Loontoon,1,1.0,,,50,m²,,52000.0,USD,Sale,House,Loontoon,2010-04-11,"Centro de Loontoon: apartamento 1 hab 1 baño, 50 m2, ideal inversión, precio $52,000",ocr_manual,loontoon_20100411.txt,v1.0
12,"Barrio Carrot Hills: casa de 3 habitaciones 2 baños, 135 m²,",Barrio Carrot Hills,3,2.0,,,135,m²,,118000.0,USD,Sale,House,Loontoon,2010-04-11,"Barrio Carrot Hills: casa de 3 habitaciones 2 baños, 135 m2, patio trasero, $118,000",ocr_manual,loontoon_20100411.txt,v1.0
13,"Avenida Warner: apartamento 2 hab 1 baño, 75 m², balcón fron",Avenida Warner,2,1.0,,,75,m²,,78000.0,USD,Sale,House,Loontoon,2010-04-11,"Avenida Warner: apartamento 2 hab 1 baño, 75 m2, balcón frontal, $78,000",ocr_manual,loontoon_20100411.txt,v1.0
14,"Sector Old Studio: casa amplia de 4 hab 3 baños, 210 m², con",Sector Old Studio,4,3.0,,,210,m²,,162000.0,USD,Sale,House,Loontoon,2010-04-11,"Sector Old Studio: casa amplia de 4 hab 3 baños, 210 m2, construcción sólida, $162,000",ocr_manual,loontoon_20100411.txt,v1.0
15,"Colonia Bunny Park: apartamento 3 hab 2 baños, 92 m², área s",Colonia Bunny Park,3,2.0,,,92,m²,,128000.0,USD,Sale,House,Loontoon,2010-04-11,"Colonia Bunny Park: apartamento 3 hab 2 baños, 92 m2, área social, $128,000",ocr_manual,loontoon_20100411.txt,v1.0
16,"Camino del Lago: casa de 3 hab 1 baño, 120 m², necesita mejo",Camino del Lago,3,1.0,,,120,m²,,85000.0,USD,Sale,House,Loontoon,2010-04-11,"Camino del Lago: casa de 3 hab 1 baño, 120 m2, necesita mejoras, precio $85,000",ocr_manual,loontoon_20100411.txt,v1.0
17,"Barrio Central Toons: apartamento moderno 2 hab 2 baños, 80 ",Barrio Central Toons,2,2.0,,,80,m²,,105000.0,USD,Sale,House,Loontoon,2010-04-11,"Barrio Central Toons: apartamento moderno 2 hab 2 baños, 80 m2, excelente ubicación, $105,000",ocr_manual,loontoon_20100411.txt,v1.0
18,"Loma del Pato: casa grande de 5 habitaciones, 3 baños, 260 m",Loma del Pato,5,3.0,260,m²,,,,215000.0,USD,Sale,House,Loontoon,2010-04-11,"Loma del Pato: casa grande de 5 habitaciones, 3 baños, 260 m2, terreno amplio, $215,000",ocr_manual,loontoon_20100411.txt,v1.0
