Listing ID,Title,Missing Fields,Multi Offer,Prices Found,Bedrooms Found,Notes
1,#ALQUILERES,Price; Currency; Bedrooms; Bathrooms; AT; Area; Neighborhood,NO,,,#ALQUILERES
2,"* COL. PALMIRA, 2 locales para bodega de 80.00 Mts. con su b",Bedrooms; Bathrooms; AT; Neighborhood,NO,,,"* COL. PALMIRA, 2 locales para bodega de 80.00 Mts. con su baño, etc. Lps. 8,000.00"
3,"* COL. PALMIRA, bodega de 40.00 Mts. con su baño, etc., Lps.",Bedrooms; Bathrooms; AT; Neighborhood,NO,,,"* COL. PALMIRA, bodega de 40.00 Mts. con su baño, etc., Lps. 6,000.00"
4,"* COMAYAGUELA, bodega de 347 Mts., con su baño, segura con c",Bedrooms; Bathrooms; AT; Transaction; Neighborhood,NO,,,"* COMAYAGUELA, bodega de 347 Mts., con su baño, segura con cortinas, L. 22,000.00"
5,"* COMAYAGUELA, bodega de 100 Mts., con su baño, etc., L. 14,",Bedrooms; Bathrooms; AT; Transaction; Neighborhood,NO,,,"* COMAYAGUELA, bodega de 100 Mts., con su baño, etc., L. 14,000.00"
6,"* AVE. COLON, Tegucigalpa, 1 local para oficina, 2 salas, 2 ",Bedrooms; AT; Area; Transaction; Neighborhood,NO,,,"* AVE. COLON, Tegucigalpa, 1 local para oficina, 2 salas, 2 baños, L.3,000.00"
7,"* LOMAS DEL MAYAB: Res. 6 cubículos para oficina, 2 salas, u",Bedrooms; AT; Area; Neighborhood,NO,"$ 2,700.00",,"* LOMAS DEL MAYAB: Res. 6 cubículos para oficina, 2 salas, una conferencias, estudio, 4 baños, 2 bodegas grandes, 6 aires acondicionados, cámaras, por"
8,"* COL. LOS ANGELES: Res. de 3 hab., sala grande, comedor, co",Bathrooms; AT; Area; Neighborhood,NO,$ 600.00,3,"* COL. LOS ANGELES: Res. de 3 hab., sala grande, comedor, cocina, área de empleo, garaje (2) $ 600.00"
9,"* COL. LOS ALMENDROS, townhouse 2 hab., sala, comedor, cocin",AT; Area; Neighborhood,NO,$ 800.00,2,"* COL. LOS ALMENDROS, townhouse 2 hab., sala, comedor, cocina, 1 baño, terraza, $ 800.00"
10,"* COL. LOMA LINDA NORTE, Res. de 3 hab., sala, comedor, coci",Bathrooms; AT; Area; Neighborhood,NO,$ 900.00,3,"* COL. LOMA LINDA NORTE, Res. de 3 hab., sala, comedor, cocina, empleo, garaje, $ 900.00"
